epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,219.607,0.35759,0.29629,0.79862,0.9508,0.97384,0.99034,0.84404,0.54439,0.3421,0.8088,0.0002575,0.0002575,0.0002575
152,221.023,0.36248,0.29542,0.80388,0.93332,0.98372,0.98394,0.8494,0.53556,0.35697,0.80838,0.00025255,0.00025255,0.00025255
153,222.427,0.35962,0.29246,0.79175,0.95123,0.97637,0.98283,0.84522,0.52466,0.33333,0.80638,0.0002476,0.0002476,0.0002476
154,223.794,0.36306,0.29332,0.79043,0.95671,0.97517,0.98714,0.85329,0.52742,0.31984,0.80305,0.00024265,0.00024265,0.00024265
155,225.197,0.34744,0.28699,0.80866,0.96122,0.97552,0.98159,0.84334,0.52571,0.31684,0.80271,0.0002377,0.0002377,0.0002377
156,226.603,0.3522,0.28421,0.79998,0.94634,0.98849,0.98351,0.84869,0.50828,0.31241,0.80246,0.00023275,0.00023275,0.00023275
157,227.897,0.35589,0.28941,0.79729,0.9694,0.9711,0.98704,0.85029,0.51879,0.31337,0.80348,0.0002278,0.0002278,0.0002278
158,229.252,0.36007,0.29274,0.78841,0.97081,0.96855,0.98591,0.85305,0.52742,0.31165,0.80442,0.00022285,0.00022285,0.00022285
159,230.774,0.34587,0.29115,0.79817,0.96705,0.96949,0.98592,0.84812,0.5574,0.32161,0.81092,0.0002179,0.0002179,0.0002179
160,232.22,0.34111,0.28216,0.77786,0.94578,0.99096,0.98194,0.83961,0.53838,0.31669,0.80796,0.00021295,0.00021295,0.00021295
161,233.527,0.34645,0.28822,0.78952,0.96615,0.97883,0.98347,0.84404,0.54843,0.31897,0.8109,0.000208,0.000208,0.000208
162,235.03,0.34736,0.28127,0.78763,0.961,0.98864,0.98213,0.84346,0.55448,0.32036,0.81339,0.00020305,0.00020305,0.00020305
163,236.377,0.33861,0.2849,0.80487,0.95925,0.99141,0.9813,0.83937,0.55454,0.31937,0.81505,0.0001981,0.0001981,0.0001981
164,237.924,0.33501,0.27672,0.80146,0.95433,0.99444,0.98272,0.8444,0.55036,0.323,0.81452,0.00019315,0.00019315,0.00019315
